Network,Site_Code,Lon,Lat,Texture,Topo,Site_Info,Corr_Val,RMSE_Val,MinSM,MaxSM,Heuristic,Vert_Shift,Amplitude,Horiz_Shift,Porosity,Res_SM,Drainage,n,Class,Zone,Easting,Northing
ARS,LW10,-98.02,34.89,6,1,"Little Washita, OK (ARS)",0.857,3.574,2.5,31,0.731596491,0.023,0.007,267.89,26.61,6.8,0.247,300,IAQ,14S,589547,3861282
ARS,LW11,-98.13,34.9,4,1,"Little Washita, OK (ARS)",0.758,4.37,2.5,33,0.614721311,0.02,0.017,238.4,24.54,5.53,0.218,300,IAQ,14S,579486,3862298
ARS,LW12,-98.18,34.89,4,1,"Little Washita, OK (ARS)",0.856,6.045,2.5,34,0.664095238,0.027,0.026,258.29,29.25,6.37,0.172,300,IAQ,14S,574927,3861151
ARS,LW13,-98.25,34.91,4,1,"Little Washita, OK (ARS)",0.888,3.687,2.5,31,0.758631579,0.02,0.02,271.53,23.74,4.07,0.223,300,IAQ,14S,568514,3863319
ARS,LW14,-98.25,34.86,6,1,"Little Washita, OK (ARS)",0.667,3.346,6,31,0.53316,0.018,0.027,268.45,25.87,11.82,0.211,300,IAQ,14S,568555,3857774
ARS,LW15,-98.2,34.86,6,1,"Little Washita, OK (ARS)",0.783,4.786,3,33,0.623466667,0.03,0.024,63.28,27.1,5.29,0.51,300,IAQ,14S,573126,3857809
ARS,LW16,-98.14,34.86,6,1,"Little Washita, OK (ARS)",0.726,4.647,2.5,37,0.591304348,0.017,0.009,261.35,31.92,5.6,0.169,300,IAQ,14S,578610,3857855
ARS,LW17,-97.96,34.84,3,1,"Little Washita, OK (ARS)",0.74,1.96,2.5,20,0.628,0.043,0.014,238.37,15.92,2.82,0.158,300,IAQ,14S,595087,3855792
ARS,LW18,-97.99,34.8,3,1,"Little Washita, OK (ARS)",0.868,4.241,2.5,24,0.670744186,0.017,0.012,243.09,17.73,4.65,0.231,300,IAQ,14S,592389,3851328
ARS,LW19,-98.13,34.8,3,1,"Little Washita, OK (ARS)",0.445,3.691,9,29,0.26045,0.022,0.022,42.55,21.24,12.39,0.283,300,IAQ,14S,579582,3851209
ARS,LW20,-98.07,34.85,3,1,"Little Washita, OK (ARS)",0.753,2.004,2.5,14,0.57873913,0.043,0.018,271.04,11.13,2.72,0.305,300,IAQ,14S,585019,3856803
ARS,RC01,-116.827,43.29498,6,0,"Reynolds Creek, ID (ARS)",0.643,1.954,2.5,19.8,0.530052023,0.023,0.023,184.76,14.1,2.49,0.478,450,XTM,11T,514033,4793587
ARS,RC02,-116.849,43.26504,6,2,"Reynolds Creek, ID (ARS)",0.735,3.855,2.5,28.7,0.587862595,0.008,0.036,202.67,22.47,3.62,0.268,450,XTM,11T,512254,4790258
ARS,RC03,-116.7061,43.24529,3,2,"Reynolds Creek, ID (ARS)",0.805,3.233,2.5,26.1,0.668008475,0.008,0.006,210.52,25.84,3.86,0.117,450,XTM,11T,523859,4788096
ARS,RC04,-116.7366,43.22678,3,2,"Reynolds Creek, ID (ARS)",0.715,2.958,2.5,19.7,0.543023256,0.01,0.007,274.43,13.68,2.18,0.338,450,XTM,11T,521390,4786032
ARS,RC05,-116.7493,43.20327,6,1,"Reynolds Creek, ID (ARS)",0.096,2.97,2.5,10.7,-0.266195122,0.034,0.026,137.23,12.24,2.75,0.055,450,XTM,11T,520366,4783418
ARS,RC06,-116.791,43.17848,3,3,"Reynolds Creek, ID (ARS)",0.669,1.807,2.5,10.6,0.44591358,0.049,0.049,163.63,9.6,1.85,0.099,450,XTM,11T,516985,4780656
ARS,RC07,-116.7127,43.16703,6,0,"Reynolds Creek, ID (ARS)",0.839,2.811,2.5,34.5,0.75115625,0.046,0.034,116.88,31.36,4.13,0.174,450,XTM,11T,523353,4779403
ARS,RC08,-116.7663,43.13959,6,0,"Reynolds Creek, ID (ARS)",0.807,1.851,2.5,26.8,0.73082716,0.016,0.015,180.8,24.56,3.1,0.099,450,XTM,11T,519005,4776342
ARS,RC09,-116.797,43.1286,4,1,"Reynolds Creek, ID (ARS)",-0.613,7.657,2.5,16,-1.180185185,0.036,0.031,157.75,13.48,1.9,0.1,450,XTM,11T,516511,4775115
ARS,RC10,-116.734,43.14,6,3,"Reynolds Creek, ID (ARS)",0.814,1.699,2.5,19.4,0.713467456,0.049,0.04,128.98,12.4,2.31,0.169,450,XTM,11T,521631,4776396
ARS,RC11,-116.719,43.1179,6,3,"Reynolds Creek, ID (ARS)",0.812,5.485,15.2,48.7,0.648268657,0.014,0.04,180.49,35.74,17.14,0.313,450,XTM,11T,522860,4773945
